Sr. No.,Required Quantity for PCB,Total Quantity,Reference,Value,PCB Footprint,Manufacturer Part Number / Generic Part Number,Manufacturer Name,Description
24,3,50,"R1, R2, R5",27 Ohms,YAGEO RES 0201_0603,RC0201FR-0727RL,Yageo,RES 27 OHM 1% 1/20W 0201
25,1,50,R3,1 kOhms,YAGEO RES 0201_0603,RC0201FR-131KL,Yageo,RES 1K OHM 1% 1/20W 0201
26,1,50,R4,75 Ohms,YAGEO RES 0201_0603,RC0201FR0775RL,Yageo,RES 75 OHM 1% 1/20W 0201
27,1,50,R6,5.6 kOhms,YAGEO RES 0201_0603,RC0201FR-135K6L,Yageo,RES 5.6K OHM 1% 1/20W 0201
28,1,50,R7,5.6 Ohms,YAGEO RES 0201_0603,RC0201FR-075R6L,Yageo,RES 5.6 OHM 1% 1/20W 0201
29,8,As per requirements,"R8, R17, R28, R31, R32, R33, R34, R35",10 kOhms,YAGEO RES 0201_0603,GPR020110K,Generic,Thick Film Resistors - SMD Thick Film Resistors - SMD 10 kOhms 50mW 0201 1%
30,2,50,"R9, R10",5.1 kOhms,YAGEO RES 0201_0603,RC0201FR075K1L,Yageo,RES 5.1K OHM 1% 1/20W 0201
31,1,30,R11,68 kOhms,YAGEO RES 0402_1005,RC0402FR-0768KL,Yageo,RES 68K OHM 1% 1/16W 0402
32,1,As per requirements,R12,10 kOhms,YAGEO RES 0402_1005,GPR040210K,Generic,"SMD Chip Resistor, 10 kohm, µ 1%, 62.5 mW, 0402 [1005 Metric], Thick Film, General Purpose"
33,1,50,R13,309 kOhms,YAGEO RES 0201_0603,RC0201FR-07309KL,Yageo,RES 309K OHM 1% 1/20W 0201
34,1,50,R14,130 kOhms,YAGEO RES 0201_0603,RC0201JR-07130KL,Yageo,RES 130K OHM 5% 1/20W 0201
35,1,50,R15,38.3 kOhms,YAGEO RES 0201_0603,RC0201FR-0738K3L,Yageo,RES 38.3K OHM 1% 1/20W 0201
36,1,50,R16,9.09 kOhms,YAGEO RES 0201_0603,RC0201FR-079K09L,Yageo,RES 9.09K OHM 1% 1/20W 0201
37,6,As per requirements,"R18, R19, R20, R21, R22, R23",10 Ohms,YAGEO RES 0603_1608,GPR060310R,Generic,"SMD Chip Resistor, 10 ohm, µ 1%, 100 mW, 0603 [1608 Metric], Thick Film, General Purpose(-200ppm/µC to +400ppm/µC)"
38,6,50,"R24, R25, R26, R27, R29, R30",47 kOhms,YAGEO RES 0201_0603,RC0201FR-0747KL,Yageo,RES 47K OHM 1% 1/20W 0201
39,1,50,R36,1 kOhms,YAGEO RES 0201_0603,RC0201JR-071KP,Yageo,RES 1K OHM 5% 1/20W 0201
40,3,4,"S1, S2, S3",EVQ-PUC02K,PANASONIC EVQPUC,EVQ-PUC02K,Panasonic,SWITCH TACTILE SPST-NO 0.05A 12V
41,1,2,S4,KMR741NG ULC LFS,C&K KMR7,KMR741NGULCLFS,ITT C&K,SWITCH TACTILE SPST-NO 50MA 32V
42,1,1,U1,RP2040,QFN40P700X700X90-57N,SC0914(7),Raspberry Pi,"ARM Microcontrollers - MCU IC RP2040 (RP2B2) T&R, 500 (7"" reel)"
43,1,2,U2,TPS62932DRLR,FP-DRL0008A-MFG,TPS62932DRLR,Texas Instruments,"3.8-V to 30-V input, 2-A, 200-kHz to 2.2-MHz, low-IQ synchronous buck converter in SOT-583 package 8-SOT-5X3 -40 to 150"
44,1,3,U3,AP63203WU-7,FP-TSOT26-MFG,AP63203WU-7,Diodes,AP63203 Series 3.3 V 2 A SMT Fixed Low IQ Synchronous Buck - TSOT-26
45,3,4,"U4, U5, U6",2ED2732S01G,SON50P300X300X90-11N-1,2ED2732S01GXTMA1,Infineon,Half Bridge SOI Gate Driver with Integrated Bootstrap Diode
46,3,5,"U7, U8, U9",LMV321IDBVR,FP-DBV0005A-IPC_B,LMV321IDBVR,Texas Instruments,"Single, 5.5-V, 1-MHz, RRO operational amplifier 5-SOT-23 -40 to 125"
47,1,3,U10,W25Q16JVSNIQ,FP-W25Q16JVSNIQ_TR-IPC_B,W25Q16JVSNIQ,Winbond,"NOR Flash Serial (SPI, Dual SPI, Quad SPI) 3V/3.3V 16M-bit 2M x 8 6ns Automotive 8-Pin SOIC N T/R"
48,1,2,Y1,12MHz,ABRACON ABM8G,ABM8G-12.000MHZ-B4Y-T,Abracon,CRYSTAL 12.0000MHZ 10PF SMD
